[228058][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18088194727897644, 'lighthouse.angle1y_3': -0.26779288053512573} 
[228068][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.1808622032403946, 'lighthouse.angle1y_3': -0.26780369877815247} 
[228078][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.1808622032403946, 'lighthouse.angle1y_3': -0.26780369877815247} 
[228088][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18082304298877716, 'lighthouse.angle1y_3': -0.26780200004577637} 
[228098][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082304298877716, 'lighthouse.angle1y_3': -0.26780200004577637} 
[228108][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086232244968414, 'lighthouse.angle1y_3': -0.2677561938762665} 
[228118][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086232244968414, 'lighthouse.angle1y_3': -0.2677561938762665} 
[228128][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.1808294802904129, 'lighthouse.angle1y_3': -0.2677905559539795} 
[228138][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.1808294802904129, 'lighthouse.angle1y_3': -0.2677905559539795} 
[228148][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18081648647785187, 'lighthouse.angle1y_3': -0.2677662968635559} 
